digits,n_prefix,p_min,p_min_digits,attempts,sieve_elim_pct,time_ms
100,80949816303010125834,1973,4,86,98.4,4.120
100,57272763278585854783,1459,4,57,99.0,4.943
100,72741858743496509830,151,3,55,98.2,1.820
100,93856929078969050341,419,3,36,99.0,8.682
100,64909634707230763058,643,3,65,98.9,1.803
100,91490761672509616967,13,2,6,0.0,0.210
100,78561092101816983016,331,3,31,99.0,1.704
100,27270363412707070585,1583,4,67,97.7,5.473
100,68529854163630765254,599,3,46,99.2,1.720
100,33098101412707236541,1289,4,62,98.3,2.125
100,40747090385230505230,659,3,92,98.0,3.100
100,75830187014341678389,11,2,5,0.0,0.311
100,84341856943434509238,1811,4,47,99.1,1.872
100,93258585890561670349,263,3,23,98.9,1.350
100,32343096343654345676,1123,4,59,99.0,4.163
100,63892927034949092521,311,3,66,98.9,1.740
100,48729830165052985252,283,3,82,97.4,1.718
100,81652745810783832741,853,3,57,99.0,1.502
100,14389618927250723656,211,3,61,98.4,5.996
100,77092123010383414587,199,3,38,98.0,3.221
100,40543256525212723450,1709,4,61,98.9,4.232
100,79872303472743698767,463,3,33,98.9,2.050
100,32701470743292127212,593,3,89,98.2,2.229
100,21416709276349616107,2843,4,100,98.0,2.087
100,96961816709818525234,2267,4,56,99.1,2.907
100,51830507090169678105,311,3,74,98.5,2.077
100,82323492989690189490,157,3,22,99.0,2.253
100,67436941698541476941,43,2,14,0.0,0.283
100,12109292325614987418,967,3,33,99.0,3.156
100,21476709674547414345,2851,4,50,99.2,1.542
100,62987234507694569656,337,3,43,98.9,2.170
100,85230561034143870749,109,3,23,98.1,1.085
100,10907830907890949672,2153,4,59,99.0,2.246
100,25014981614523472109,2293,4,53,99.0,1.493
100,78367232903838725812,733,3,45,99.0,1.755
100,11450383054709094387,353,3,23,99.1,1.634
100,18305632525834909494,5,1,3,0.0,0.259
100,71674101632501696947,1297,4,36,99.3,1.639
100,46701858581838921612,587,3,46,98.8,1.592
100,73232163254163636769,193,3,44,99.1,1.659
100,62105030123076545470,199,3,23,99.0,1.324
100,21892503816103076527,277,3,45,98.8,1.701
100,38969870723812725034,1451,4,58,99.0,5.725
100,67098105472767212541,739,3,45,98.2,1.417
100,22309212145250967096,1657,4,58,98.8,1.533
100,95418329258741274989,37,2,12,0.0,0.183
100,38569830305632307030,29,2,10,0.0,0.265
100,61058189234585414543,491,3,59,98.5,2.112
100,16369472365212949052,569,3,42,99.0,1.511
100,37010145678747258149,3617,4,58,99.0,1.554
100,64143096329478585892,1789,4,55,98.7,1.578
100,47852161692765490723,137,3,38,98.9,1.393
100,54921074543256909838,929,3,47,98.6,1.737
100,39490321090921476129,701,3,91,98.1,2.579
100,48923258361250561434,157,3,44,97.8,2.037
100,33490327258963454381,89,2,23,97.9,1.815
100,40767210125610721670,317,3,54,99.0,1.504
100,37678507414543470789,239,3,22,99.2,1.304
100,78543410507096947610,113,3,22,98.1,1.381
100,95610187878125430705,241,3,23,99.2,1.316
100,18701630989058789836,107,3,23,99.2,1.226
100,59078703498129054989,17,2,7,0.0,0.190
100,74949234969890103692,251,3,55,98.2,1.687
100,67456149076301632563,83,2,22,98.7,1.219
100,52963250383472345094,29,2,10,0.0,0.253
100,17470163890925812729,71,2,20,0.0,0.292
100,52363814941050985252,23,2,9,0.0,0.297
100,43056509690761812107,37,2,12,0.0,0.331
100,90369832181854349258,5,1,3,0.0,0.265
100,23832907818725610341,241,3,52,98.8,1.666
100,26901012385232549232,137,3,22,99.0,1.281
100,43296349830109472343,991,3,52,99.2,1.758
100,50727016365670789234,2777,4,52,99.0,1.590
100,53896149650727654965,5507,4,136,99.2,5.239
100,10541890561436307278,1493,4,62,99.0,1.648
100,73018185418901078127,113,3,22,98.0,1.347
100,36509070323874903638,37,2,12,0.0,0.237
100,91014707074109812581,109,3,23,99.2,1.289
100,72143454161438781632,6047,4,122,99.2,4.427
100,49872541214307614925,47,2,15,0.0,0.241
100,38381472745618525896,941,3,49,99.0,1.449
100,33074989674909892347,877,3,51,99.3,2.600
100,10921692909258929818,1109,4,76,98.7,1.626
100,31096505410349856365,1451,4,49,99.3,4.061
100,86701278385670789434,643,3,51,98.1,1.414
100,35856789038343858963,1481,4,56,99.1,3.525
100,36905418589658923892,1607,4,67,98.9,6.955
100,37834707010729092305,769,3,54,99.0,3.990
100,84341050709612185412,499,3,100,98.0,2.622
100,79094563038565270589,911,3,54,99.2,1.920
100,14105834121638701250,131,3,22,98.6,1.577
100,47656123270969654921,283,3,59,98.2,2.034
100,92125050727058329274,211,3,41,99.0,3.125
100,65438105018581410525,2713,4,54,99.2,1.651
100,30705056905054501434,379,3,51,99.2,1.580
100,89032581256101670985,389,3,63,98.4,1.760
100,20167616781614921216,509,3,59,99.1,7.577
100,85296525256589216945,463,3,40,99.1,3.996
100,12329210561298545238,239,3,51,99.2,1.868
100,29874565438341638741,1289,4,72,98.0,6.130
100,78565638709256743636,409,3,52,98.4,7.832
100,81410969830949654909,271,3,23,99.2,1.324
100,26327456323010569658,839,3,48,99.3,4.492
100,49078749816145696583,139,3,22,99.0,1.701
100,28123632987472563054,1523,4,67,98.4,1.890
100,37890789434147476761,631,3,64,97.9,1.663
100,96989870183438723234,53,2,16,0.0,0.263
100,61270723674985034781,419,3,46,99.0,1.430
100,22505670565696369472,613,3,57,98.8,1.964
100,21256981450349410969,983,3,49,99.3,1.894
100,28509270129656589216,3373,4,73,98.7,3.459
100,23250501014165652147,883,3,118,97.0,4.023
100,34723658783690781634,2341,4,51,99.3,1.467
100,21230303054183276725,613,3,78,98.2,2.056
100,72101650521234121438,709,3,82,97.9,4.863
100,35836349216105410347,709,3,80,98.5,1.808
100,56309094969434127810,131,3,22,99.4,1.179
100,83478745296385858161,1783,4,83,98.5,1.939
100,94989032701678329454,419,3,55,98.3,1.832
100,31254109294563230365,1627,4,65,98.9,3.214
100,78167692129252529090,41,2,13,0.0,0.240
100,69456541612947690525,97,2,22,98.8,1.204
100,68327652763078507492,47,2,15,0.0,0.233
100,21636965694525672129,1493,4,69,98.8,1.680
100,80921456545810545812,1523,4,51,99.1,1.679
100,31816347032365454929,887,3,57,99.1,1.533
100,10109612325450381612,277,3,60,97.7,2.230
100,35254341618105692721,653,3,47,99.2,1.523
100,28165896703238183476,733,3,54,99.2,1.687
100,89636325010161010163,3217,4,64,99.0,1.455
100,86769298927212547418,619,3,51,98.2,1.668
100,67230123054981050543,53,2,16,0.0,0.324
100,78189652787810585830,127,3,22,99.1,1.214
100,47236949256569294561,2851,4,61,99.0,2.468
100,74729232565438503818,53,2,16,0.0,0.245
100,43034129830127690383,3041,4,49,99.3,2.780
100,72747410529496981694,661,3,40,99.2,1.584
100,31296389296563618121,503,3,72,98.6,1.919
100,36963094945272789056,509,3,60,99.0,1.611
100,35674121050981290549,157,3,49,99.0,1.401
100,80181856347016109214,1621,4,44,99.0,1.653
100,85474145098309490943,131,3,22,98.8,1.425
100,72103078167838187238,587,3,52,99.2,4.963
100,49678101412505452303,1297,4,54,99.2,1.412
100,70327292949638381610,7,1,4,0.0,0.173
100,67476583294923038505,281,3,55,97.5,1.463
